6	Tónlist	2	2	Hvaða hljómsveit gerði lagið "Rangur maður"	Sólstrandargæjarnir	Hvaða hljómsveit gerði lagið " Rangur maður "
6	Tónlist	2		Hvaða hljómsveit kvað "Á hverjum degi beiglan þurfti bensín, rúblunum fleygði í kerlingu sem brosti"	Sniglabandið	Hvaða hljómsveit kvað " Á hverjum degi beiglan þurfti bensín , rúblunum fleygði í kerlingu sem brosti "
6	Tónlist	2		Hver kvað "Smíða skútu, skerpi skauta, bý til þrumuost og grauta, haltu kjafti"	Bjartmar Guðlaugsson	Hver kvað " Smíða skútu , skerpi skauta , bý til þrumuost og grauta , haltu kjafti "
6	Tónlist	1		Hvaða íslenska hljómsveit gerði lagið "So Alone"	Bang Gang	Hvaða íslenska hljómsveit gerði lagið " So Alone "
6	Tónlist	1	3	Hvaða hljómsveit gerði lagið "Sehnsucht"	Rammstein	Hvaða hljómsveit gerði lagið " Sehnsucht "
6	Tónlist	3	2	Hvaða hljómsveit gerði lagið "Trans Europe Express"	Kraftwerk	Hvaða hljómsveit gerði lagið " Trans Europe Express "
6	Tónlist	2	2	Hvaða hljómsveit gerði lagið "Hotel California"	Eagles	Hvaða hljómsveit gerði lagið " Hotel California "
6	Tónlist	3		Hver sönglaði um "The Black Rider"	Tom Waits	Hver sönglaði um " The Black Rider "
6	Tónlist	3		Hvaða hljómsveit gerði lagið "Running Free"	Iron Maiden	Hvaða hljómsveit gerði lagið " Running Free "
6	Tónlist	3		Á hvaða diski Radiohead er lagið "Karma Police" að finna	Ok Computer	Á hvaða diski Radiohead er lagið " Karma Police " að finna
6	Tónlist	3		Á hvaða diski Propellerheads er lagið "Take California" að finna	DECKSANDDRUMSANDROCKANDROLL	Á hvaða diski Propellerheads er lagið " Take California " að finna
6	Tónlist	1	2	Hvaða hljómsveit gerði lagið "Karma Police"	Radiohead	Hvaða hljómsveit gerði lagið " Karma Police "
6	Tónlist	1		Hvaða hljómsveit gerði lagið "Hello, I love you"	The Doors	Hvaða hljómsveit gerði lagið " Hello , I love you "
6	Tónlist	3		Hvaða lag byrjar svona "Didn't know what time it was the light were low low low"	Starman	Hvaða lag byrjar svona " Didn't know what time it was the light were low low low "
6	Tónlist	2		Hver gerði lagið "Jump they say"	David Bowie	Hver gerði lagið " Jump they say "
6	Tónlist	3		Í hvaða lagi Portishead kemur þessi texti "This life is a fuzz I can't breath through this mask"	It's a fire	Í hvaða lagi Portishead kemur þessi texti " This life is a fuzz I can't breath through this mask "
6	Tónlist	1	2	Hvaða hljómsveit gerði lagið "Break on through"	The Doors	Hvaða hljómsveit gerði lagið " Break on through "
6	Tónlist	1	3	Hvaða íslenska hljómsveit gerði lagið "Musculus"	Ham	Hvaða íslenska hljómsveit gerði lagið " Musculus "
6	Tónlist	1	3	Hvaða hljómsveit gerði lagið sem þessi texti kemur fram "En hún faðmaði aldrei aldrei fólkið sitt"	Todmobile	Hvaða hljómsveit gerði lagið sem þessi texti kemur fram " En hún faðmaði aldrei aldrei fólkið sitt "
6	Tónlist	2	2	Hvaða hljómsveit gerði lagið sem byrjar á textanum "Deus does not exist"	Sykurmolarnir	Hvaða hljómsveit gerði lagið sem byrjar á textanum " Deus does not exist "
6	Tónlist	3		Á hvaða diski Metallica er lagið "Whisky in the Jar"	Garage Inc	Á hvaða diski Metallica er lagið " Whisky in the Jar "
6	Tónlist	1		Hvaða hljómsveit gerði lagið "The Memory Remains"	Metallica	Hvaða hljómsveit gerði lagið " The Memory Remains "
6	Tónlist	1	2	Hvaða hljómsveit gerði lagið "Enter Sandman"	Metallica	Hvaða hljómsveit gerði lagið " Enter Sandman "
6	Tónlist	1	2	Hver sönglaði um grimman dauða Jóns Arasonar	Megas	Hver sönglaði um grimman dauða Jóns Arasonar
6	Tónlist	1	3	Hver samdi lagið "Fatlafól"	Megas	Hver samdi lagið " Fatlafól "
6	Tónlist	2		Hver kvað að þótt þú gleymdir guði þá gleymir guð ekki þér	Megas	Hver kvað að þótt þú gleymdir guði þá gleymir guð ekki þér
6	Tónlist	2		Hver gaf út diskinn "Drög að sjálfsmorði"	Megas	Hver gaf út diskinn " Drög að sjálfsmorði "
6	Tónlist	1	2	Hvaða hljómsveit gerði lagið "Stopp númer 7"	200.000 Naglbítar	Hvaða hljómsveit gerði lagið " Stopp númer  sjö "
6	Tónlist	3		Hvaða lag Vilhjálms Vilhjálmssonar byrjar á "Því ertu svona döpur kæra vina mín"	Angelía	Hvaða lag Vilhjálms Vilhjálmssonar byrjar á " Því ertu svona döpur kæra vina mín "
6	Tónlist	2		Hver samdi lagið "Söknuður"	Vilhjálmur Vilhjálmsson	Hver samdi lagið " Söknuður "
6	Tónlist	2		Hvaða hljómsveit gerði lagið "Maður með mönnum"	Vinir vors og blóma	Hvaða hljómsveit gerði lagið " Maður með mönnum "
6	Tónlist	3		Hvaða hljómsveit gerði lagið "Í Reykjavíkurborg"	Þú og ég	Hvaða hljómsveit gerði lagið " Í Reykjavíkurborg "
6	Tónlist	3		Hvað heitir lagið sem byrjar á "Genginn var á Gerpisflak sprotafiskur með sporðablak"	Riggarobb	Hvað heitir lagið sem byrjar á " Genginn var á Gerpisflak sprotafiskur með sporðablak "
6	Tónlist	3	2	Hver samdi textann í Gilsbakkaþulu	Kolbeinn Þorsteinsson	Hver samdi textann í Gilsbakkaþulu
6	Tónlist	2		Hvaða hljómsveit gerði lagið "Landið fýkur burt"	Ríó Tríó	Hvaða hljómsveit gerði lagið " Landið fýkur burt "
6	Tónlist	1	3	Hvaða Íslenska rapphljómsveit gerði lagið "Tarfur"	Quarashi	Hvaða Íslenska rapphljómsveit gerði lagið " Tarfur "
